experiment,speakers,noise,samples,layer_size,accuracy,recall,fp_hour,duration_sec
p3_spk50_clean_smp5000_lay192,50,clean,5000,192,N/A,N/A,N/A,26
p3_spk50_clean_smp5000_lay128,50,clean,5000,128,N/A,N/A,N/A,120
p3_spk50_clean_smp5000_lay192,50,clean,5000,192,N/A,N/A,N/A,2
p3_spk50_clean_smp7500_lay128,50,clean,7500,128,N/A,N/A,N/A,2
p3_spk50_clean_smp7500_lay192,50,clean,7500,192,N/A,N/A,N/A,66
p3_spk50_clean_smp7500_lay128,50,clean,7500,128,N/A,N/A,N/A,201
p3_spk50_clean_smp7500_lay192,50,clean,7500,192,N/A,N/A,N/A,3
p3_spk50_clean_smp7500_lay128,50,clean,7500,128,N/A,N/A,N/A,213
p3_spk50_clean_smp7500_lay192,50,clean,7500,192,N/A,N/A,N/A,3
p3_spk50_noise_smp5000_lay128,50,noise,5000,128,N/A,N/A,N/A,45
p3_spk50_noise_smp5000_lay128,50,noise,5000,128,N/A,N/A,N/A,55
p3_spk50_clean_smp5000_lay192,50,clean,5000,192,0.8420000076293945,0.6869999766349792,0.9734513163566589,549
p3_spk50_clean_smp7500_lay128,50,clean,7500,128,0.8420000076293945,0.6869999766349792,0.9734513163566589,4
p3_spk50_clean_smp7500_lay192,50,clean,7500,192,0.8420000076293945,0.6869999766349792,0.9734513163566589,3
p3_spk50_noise_smp5000_lay128,50,noise,5000,128,0.8420000076293945,0.6869999766349792,0.9734513163566589,176
p3_spk50_noise_smp5000_lay128,50,noise,5000,128,0.7085000276565552,0.4180000126361847,1.4159291982650757,609
p3_spk50_noise_smp5000_lay192,50,noise,5000,192,0.7085000276565552,0.4180000126361847,1.4159291982650757,136
p3_spk50_noise_smp7500_lay128,50,noise,7500,128,0.7085000276565552,0.4180000126361847,1.4159291982650757,4
p3_spk50_noise_smp7500_lay192,50,noise,7500,192,0.7085000276565552,0.4180000126361847,1.4159291982650757,3
p3_spk100_clean_smp5000_lay128,100,clean,5000,128,0.7085000276565552,0.4180000126361847,1.4159291982650757,4
p3_spk100_clean_smp5000_lay192,100,clean,5000,192,0.7085000276565552,0.4180000126361847,1.4159291982650757,4
p3_spk100_clean_smp7500_lay128,100,clean,7500,128,0.7085000276565552,0.4180000126361847,1.4159291982650757,3
p3_spk100_clean_smp7500_lay192,100,clean,7500,192,0.7085000276565552,0.4180000126361847,1.4159291982650757,4
p3_spk100_noise_smp5000_lay128,100,noise,5000,128,0.8899999856948853,0.7820000052452087,1.0619468688964844,3
p3_spk50_noise_smp5000_lay192,50,noise,5000,192,0.8899999856948853,0.7820000052452087,1.0619468688964844,764
p3_spk50_noise_smp5000_lay192,50,noise,5000,192,0.890999972820282,0.7850000262260437,1.0619468688964844,766
p3_spk50_noise_smp5000_lay192,50,noise,5000,192,0.8899999856948853,0.7839999794960022,0.8849557638168335,401
p3_spk50_noise_smp7500_lay128,50,noise,7500,128,0.8899999856948853,0.7839999794960022,0.8849557638168335,2
p3_spk100_noise_smp5000_lay192,100,noise,5000,192,0.8324999809265137,0.671999990940094,3.6283185482025146,530
p3_spk100_noise_smp7500_lay128,100,noise,7500,128,0.8324999809265137,0.671999990940094,3.6283185482025146,78
p3_spk100_noise_smp7500_lay192,100,noise,7500,192,0.8324999809265137,0.671999990940094,3.6283185482025146,77
p3_spk150_clean_smp5000_lay128,150,clean,5000,128,0.8324999809265137,0.671999990940094,3.6283185482025146,63
p3_spk50_noise_smp7500_lay192,50,noise,7500,192,0.7886666655540466,0.5846666693687439,0.17699114978313446,669
p3_spk150_clean_smp5000_lay192,150,clean,5000,192,0.7886666655540466,0.5846666693687439,0.17699114978313446,48
p3_spk50_noise_smp7500_lay128,50,noise,7500,128,0.7196666598320007,0.4440000057220459,0.44247788190841675,841
p3_spk50_noise_smp7500_lay128,50,noise,7500,128,0.7229999899864197,0.4506666660308838,0.5309734344482422,853
p3_spk50_noise_smp7500_lay192,50,noise,7500,192,0.7879999876022339,0.5826666951179504,0.3539822995662689,441
p3_spk50_noise_smp7500_lay192,50,noise,7500,192,0.7979999780654907,0.6026666760444641,0.2654867172241211,444
p3_spk100_clean_smp5000_lay128,100,clean,5000,128,0.9384999871253967,0.8809999823570251,5.7522125244140625,613
p3_spk150_clean_smp7500_lay128,150,clean,7500,128,0.8646666407585144,0.7333333492279053,0.6194690465927124,691
p3_spk100_clean_smp5000_lay128,100,clean,5000,128,0.9334999918937683,0.8709999918937683,3.3628318309783936,427
p3_spk100_clean_smp5000_lay128,100,clean,5000,128,0.9210000038146973,0.8450000286102295,1.769911527633667,426
p3_spk100_clean_smp5000_lay192,100,clean,5000,192,0.9210000038146973,0.8450000286102295,1.769911527633667,189
p3_spk100_clean_smp7500_lay128,100,clean,7500,128,0.9210000038146973,0.8450000286102295,1.769911527633667,73
p3_spk100_clean_smp5000_lay192,100,clean,5000,192,0.8029999732971191,0.609000027179718,3.539823055267334,601
p3_spk100_clean_smp7500_lay128,100,clean,7500,128,0.8029999732971191,0.609000027179718,3.539823055267334,3
p3_spk100_clean_smp7500_lay192,100,clean,7500,192,0.8029999732971191,0.609000027179718,3.539823055267334,61
p3_spk100_noise_smp5000_lay128,100,noise,5000,128,0.8029999732971191,0.609000027179718,3.539823055267334,4
p3_spk100_clean_smp5000_lay192,100,clean,5000,192,0.7950000166893005,0.593999981880188,1.4159291982650757,451
p3_spk100_clean_smp7500_lay128,100,clean,7500,128,0.7950000166893005,0.593999981880188,1.4159291982650757,3
p3_spk100_clean_smp7500_lay192,100,clean,7500,192,0.7950000166893005,0.593999981880188,1.4159291982650757,3
p3_spk150_clean_smp7500_lay192,150,clean,7500,192,0.781333327293396,0.5640000104904175,0.17699114978313446,696
p3_spk100_noise_smp5000_lay192,100,noise,5000,192,0.781333327293396,0.5640000104904175,0.17699114978313446,203
p3_spk100_noise_smp7500_lay128,100,noise,7500,128,0.781333327293396,0.5640000104904175,0.17699114978313446,2
p3_spk100_noise_smp7500_lay192,100,noise,7500,192,0.781333327293396,0.5640000104904175,0.17699114978313446,2
p3_spk150_clean_smp5000_lay128,150,clean,5000,128,0.781333327293396,0.5640000104904175,0.17699114978313446,2
