experiment,speakers,noise,samples,layer_size,accuracy,recall,fp_hour,duration_sec
p3b_spk50_clean_smp5000_lay128,50,clean,5000,128,0.859000027179718,0.7300000190734863,0.17699114978313446,473
p3b_spk50_clean_smp5000_lay192,50,clean,5000,192,0.890999972820282,0.7940000295639038,0.2654867172241211,469
p3b_spk50_clean_smp7500_lay128,50,clean,7500,128,0.8773333430290222,0.7620000243186951,0.0,555
p3b_spk50_clean_smp7500_lay192,50,clean,7500,192,0.8286666870117188,0.6866666674613953,0.17699114978313446,554
p3b_spk50_noise_smp5000_lay128,50,noise,5000,128,0.6729999780654907,0.3700000047683716,2.2123894691467285,468
p3b_spk50_noise_smp5000_lay192,50,noise,5000,192,0.734000027179718,0.47200000286102295,8.849557876586914,465
p3b_spk50_noise_smp7500_lay128,50,noise,7500,128,0.7876666784286499,0.5826666951179504,1.4159291982650757,556
p3b_spk50_noise_smp7500_lay192,50,noise,7500,192,0.8040000200271606,0.6100000143051147,0.44247788190841675,554
p3b_spk100_clean_smp5000_lay128,100,clean,5000,128,0.8805000185966492,0.7680000066757202,0.08849557489156723,467
p3b_spk100_clean_smp5000_lay192,100,clean,5000,192,0.8690000176429749,0.7459999918937683,0.0,469
p3b_spk100_clean_smp7500_lay128,100,clean,7500,128,0.8933333158493042,0.7919999957084656,0.17699114978313446,558
p3b_spk100_clean_smp7500_lay192,100,clean,7500,192,0.8453333377838135,0.6959999799728394,0.3539822995662689,554
p3b_spk100_noise_smp5000_lay128,100,noise,5000,128,0.7009999752044678,0.41200000047683716,0.7079645991325378,467
p3b_spk100_noise_smp5000_lay192,100,noise,5000,192,0.7944999933242798,0.6029999852180481,2.300884962081909,466
p3b_spk100_noise_smp7500_lay128,100,noise,7500,128,0.7944999933242798,0.6029999852180481,2.300884962081909,20
p3b_spk100_noise_smp7500_lay192,100,noise,7500,192,0.7366666793823242,0.4779999852180481,1.504424810409546,555
p3b_spk150_clean_smp5000_lay128,150,clean,5000,128,0.7366666793823242,0.4779999852180481,1.504424810409546,4
p3b_spk150_clean_smp5000_lay192,150,clean,5000,192,0.9120000004768372,0.8309999704360962,0.2654867172241211,466
p3b_spk150_clean_smp7500_lay128,150,clean,7500,128,0.8100000023841858,0.6240000128746033,0.0,554
p3b_spk150_clean_smp7500_lay192,150,clean,7500,192,0.8539999723434448,0.7120000123977661,0.17699114978313446,553
p3b_spk150_noise_smp5000_lay128,150,noise,5000,128,0.7350000143051147,0.47999998927116394,1.4159291982650757,465
p3b_spk150_noise_smp5000_lay192,150,noise,5000,192,0.7475000023841858,0.5009999871253967,1.3274335861206055,466
p3b_spk150_noise_smp7500_lay128,150,noise,7500,128,0.7473333477973938,0.503333330154419,1.769911527633667,554
p3b_spk150_noise_smp7500_lay192,150,noise,7500,192,0.7473333477973938,0.503333330154419,1.769911527633667,19
p3b_spk200_clean_smp5000_lay128,200,clean,5000,128,0.8019999861717224,0.6150000095367432,0.0,467
p3b_spk200_clean_smp5000_lay192,200,clean,5000,192,0.8460000157356262,0.699999988079071,0.08849557489156723,467
p3b_spk200_clean_smp7500_lay128,200,clean,7500,128,0.8076666593551636,0.6200000047683716,0.2654867172241211,552
p3b_spk200_clean_smp7500_lay192,200,clean,7500,192,0.8989999890327454,0.8046666383743286,0.0,555
p3b_spk200_noise_smp5000_lay128,200,noise,5000,128,0.8989999890327454,0.8046666383743286,0.0,26
p3b_spk200_noise_smp5000_lay192,200,noise,5000,192,0.7990000247955322,0.6200000047683716,3.0973451137542725,464
p3b_spk200_noise_smp7500_lay128,200,noise,7500,128,0.7519999742507935,0.5120000243186951,0.44247788190841675,552
p3b_spk200_noise_smp7500_lay192,200,noise,7500,192,0.7519999742507935,0.5120000243186951,0.44247788190841675,4

# Completed: Mon Jan 26 01:35:42 PM GMT 2026
