experiment,speakers,noise,samples,layer_size,accuracy,recall,fp_hour,duration_sec
p3c_spk50_clean_smp5000_lay128,50,clean,5000,128,0.9139999747276306,0.8320000171661377,0.17699114978313446,458
p3c_spk50_clean_smp5000_lay192,50,clean,5000,192,0.9325000047683716,0.8759999871253967,0.44247788190841675,460
p3c_spk50_clean_smp7500_lay128,50,clean,7500,128,0.9256666898727417,0.8659999966621399,0.0,547
p3c_spk50_clean_smp7500_lay192,50,clean,7500,192,0.8273333311080933,0.6586666703224182,0.0,548
p3c_spk50_noise_smp5000_lay128,50,noise,5000,128,0.753000020980835,0.5070000290870667,1.1504424810409546,461
p3c_spk50_noise_smp5000_lay192,50,noise,5000,192,0.8705000281333923,0.7409999966621399,0.9734513163566589,460
p3c_spk50_noise_smp7500_lay128,50,noise,7500,128,0.8243333101272583,0.6513333320617676,0.08849557489156723,546
p3c_spk50_noise_smp7500_lay192,50,noise,7500,192,0.8600000143051147,0.7260000109672546,0.7079645991325378,547
p3c_spk100_clean_smp5000_lay128,100,clean,5000,128,0.8600000143051147,0.7260000109672546,0.7079645991325378,12
p3c_spk100_clean_smp5000_lay192,100,clean,5000,192,0.9225000143051147,0.8479999899864197,0.17699114978313446,462
p3c_spk100_clean_smp7500_lay128,100,clean,7500,128,0.8870000243186951,0.7739999890327454,0.0,547
p3c_spk100_clean_smp7500_lay192,100,clean,7500,192,0.9380000233650208,0.8826666474342346,0.08849557489156723,548
p3c_spk100_noise_smp5000_lay128,100,noise,5000,128,0.7950000166893005,0.597000002861023,0.2654867172241211,460
p3c_spk100_noise_smp5000_lay192,100,noise,5000,192,0.7804999947547913,0.5630000233650208,0.7079645991325378,465
p3c_spk100_noise_smp7500_lay128,100,noise,7500,128,0.612666666507721,0.2266666740179062,0.17699114978313446,548
p3c_spk100_noise_smp7500_lay192,100,noise,7500,192,0.7856666445732117,0.5720000267028809,0.2654867172241211,549
p3c_spk150_clean_smp5000_lay128,150,clean,5000,128,0.9514999985694885,0.906000018119812,0.17699114978313446,461
p3c_spk150_clean_smp5000_lay192,150,clean,5000,192,0.9555000066757202,0.9190000295639038,0.17699114978313446,463
p3c_spk150_clean_smp7500_lay128,150,clean,7500,128,0.8539999723434448,0.7120000123977661,0.2654867172241211,548
p3c_spk150_clean_smp7500_lay192,150,clean,7500,192,0.9163333177566528,0.8366666436195374,0.2654867172241211,546
p3c_spk150_noise_smp5000_lay128,150,noise,5000,128,0.8730000257492065,0.7519999742507935,0.5309734344482422,460
p3c_spk150_noise_smp5000_lay192,150,noise,5000,192,0.8345000147819519,0.6700000166893005,0.0,459
p3c_spk150_noise_smp7500_lay128,150,noise,7500,128,0.7753333449363708,0.5540000200271606,1.9469026327133179,547
p3c_spk150_noise_smp7500_lay192,150,noise,7500,192,0.7663333415985107,0.5379999876022339,0.5309734344482422,549
p3c_spk200_clean_smp5000_lay128,200,clean,5000,128,0.8034999966621399,0.6159999966621399,0.0,461
p3c_spk200_clean_smp5000_lay192,200,clean,5000,192,0.9204999804496765,0.8489999771118164,0.7079645991325378,464
p3c_spk200_clean_smp7500_lay128,200,clean,7500,128,0.9113333225250244,0.8246666789054871,0.0,548
p3c_spk200_clean_smp7500_lay192,200,clean,7500,192,0.8450000286102295,0.6933333277702332,0.0,547
p3c_spk200_noise_smp5000_lay128,200,noise,5000,128,0.8140000104904175,0.6299999952316284,2.035398244857788,460
p3c_spk200_noise_smp5000_lay192,200,noise,5000,192,0.8834999799728394,0.7680000066757202,0.9734513163566589,461
p3c_spk200_noise_smp7500_lay128,200,noise,7500,128,0.8169999718666077,0.6433333158493042,6.548672676086426,548
p3c_spk200_noise_smp7500_lay192,200,noise,7500,192,0.8266666531562805,0.6566666960716248,2.2123894691467285,548

# Completed: Mon Jan 26 10:38:05 PM GMT 2026
