experiment,speakers,samples,steps,accuracy,recall,fp_hour,duration_sec
p4_spk125_smp5000_stp50k,125,5000,50k,0.8619999885559082,0.7250000238418579,0.08849557489156723,468
p4_spk125_smp5000_stp75k,125,5000,75k,0.9120000004768372,0.8289999961853027,0.0,537
p4_spk125_smp5000_stp100k,125,5000,100k,0.8759999871253967,0.7680000066757202,0.08849557489156723,600
p4_spk125_smp10000_stp50k,125,10000,50k,0.8447499871253967,0.6924999952316284,0.0,638
p4_spk125_smp10000_stp75k,125,10000,75k,0.8955000042915344,0.796500027179718,0.08849557489156723,712
p4_spk125_smp10000_stp100k,125,10000,100k,0.8955000042915344,0.796500027179718,0.08849557489156723,20
p4_spk125_smp15000_stp50k,125,15000,50k,0.8361666798591614,0.6736666560173035,0.0,815
p4_spk125_smp15000_stp75k,125,15000,75k,0.874833345413208,0.7516666650772095,0.2654867172241211,886
p4_spk125_smp15000_stp100k,125,15000,100k,0.874833345413208,0.7516666650772095,0.2654867172241211,10
p4_spk150_smp5000_stp50k,150,5000,50k,0.9419999718666077,0.890999972820282,0.08849557489156723,465
p4_spk150_smp5000_stp75k,150,5000,75k,0.8989999890327454,0.8059999942779541,0.08849557489156723,528
p4_spk150_smp5000_stp100k,150,5000,100k,0.9350000023841858,0.8759999871253967,6.902654647827148,604
p4_spk150_smp10000_stp50k,150,10000,50k,0.840499997138977,0.6840000152587891,0.0,641
p4_spk150_smp10000_stp75k,150,10000,75k,0.9207500219345093,0.8485000133514404,0.0,710
p4_spk150_smp10000_stp100k,150,10000,100k,0.871999979019165,0.7519999742507935,0.17699114978313446,779
p4_spk150_smp15000_stp50k,150,15000,50k,0.7951666712760925,0.5910000205039978,0.0,818
p4_spk150_smp15000_stp75k,150,15000,75k,0.8731666803359985,0.7490000128746033,0.3539822995662689,883
p4_spk150_smp15000_stp100k,150,15000,100k,0.8731666803359985,0.7490000128746033,0.3539822995662689,64
p4_spk175_smp5000_stp50k,175,5000,50k,0.8731666803359985,0.7490000128746033,0.3539822995662689,7
p4_spk175_smp5000_stp75k,175,5000,75k,0.8615000247955322,0.7350000143051147,0.2654867172241211,537
p4_spk175_smp5000_stp100k,175,5000,100k,0.9520000219345093,0.9160000085830688,0.3539822995662689,603
p4_spk175_smp10000_stp50k,175,10000,50k,0.8834999799728394,0.7699999809265137,0.0,640
p4_spk175_smp10000_stp75k,175,10000,75k,0.8834999799728394,0.7699999809265137,0.0,24
p4_spk175_smp10000_stp100k,175,10000,100k,0.8834999799728394,0.7699999809265137,0.0,22
p4_spk175_smp15000_stp50k,175,15000,50k,0.8631666898727417,0.7273333072662354,0.0,823
p4_spk175_smp15000_stp75k,175,15000,75k,0.8934999704360962,0.7896666526794434,0.0,887
p4_spk175_smp15000_stp100k,175,15000,100k,0.8765000104904175,0.7563333511352539,0.0,955

# Completed: Tue Jan 27 12:32:59 PM GMT 2026
