experiment,speakers,steps,accuracy,recall,fp_hour,duration_sec
p4b_spk125_stp75k,125,75k,0.8939999938011169,0.8019999861717224,0.44247788190841675,520
p4b_spk125_stp100k,125,100k,0.9704999923706055,0.9480000138282776,0.08849557489156723,583
p4b_spk125_stp150k,125,150k,0.9704999923706055,0.9480000138282776,0.08849557489156723,7
p4b_spk150_stp75k,150,75k,0.8050000071525574,0.6159999966621399,0.08849557489156723,522
p4b_spk150_stp100k,150,100k,0.9815000295639038,0.9750000238418579,0.5309734344482422,583
p4b_spk150_stp150k,150,150k,0.8945000171661377,0.828000009059906,0.7964601516723633,695
p4b_spk175_stp75k,175,75k,0.9399999976158142,0.8920000195503235,0.2654867172241211,520
p4b_spk175_stp100k,175,100k,0.9800000190734863,0.9649999737739563,1.8584070205688477,590
p4b_spk175_stp150k,175,150k,0.9514999985694885,0.9240000247955322,1.3274335861206055,698

# Completed: Tue Jan 27 04:00:09 PM GMT 2026
